Verb	CELEX_count	log_frequency	nasal_in_stressed_coda	stressed_onset_complex	ends_t_d	is_it_two_syllables	modern_type	Modern_Irregular	Middle_Irregular	Old_Irregular	Old_English_source	Middle_English_source
cast	359	2.555094449	0	0	1	0	zero	1	0	0	N	N
cost	549	2.739572344	0	0	1	0	zero	1	0	0	N	N
cut	1465	3.165837625	0	0	1	0	zero	1	0	0	N	N
hit	832	2.920123326	0	0	1	0	zero	1	0	0	N	N
hurt	556	2.745074792	0	0	1	0	zero	1	0	0	N	N
knit	91	1.959041392	0	0	1	0	zero	1	0	0	N	N
let	3036	3.482301767	0	0	1	0	zero	1	1	1	11	7
put	6224	3.794069584	0	0	1	0	zero	1	0	0	N	N
quit	102	2.008600172	0	1	1	0	zero	1	0	0	N	N
set	2510	3.399673721	0	0	1	0	zero	1	1	1	2	N
shed	130	2.113943352	0	0	1	0	zero	1	1	1	8	N
shut	506	2.704150517	0	0	1	0	zero	1	0	0	N	N
sit	4627	3.665299499	0	0	1	0	zero	1	1	1	2	7
slit	24	1.380211242	0	1	1	0	zero	1	1	1	8	10
spit	132	2.120573931	0	1	1	0	zero	1	0	0	N	N
split	275	2.439332694	0	1	1	0	zero	1	0	0	N	N
spread	786	2.895422546	0	1	1	0	zero	1	0	0	N	N
thrust	186	2.269512944	0	1	1	0	zero	1	0	0	N	N
wed	4	0.602059991	0	0	1	0	zero	1	0	0	N	N
wet	60	1.77815125	0	0	1	0	zero	1	0	0	N	N
beset	27	1.431363764	0	0	1	1	zero	1	0	0	N	N
forbid	227	2.356025857	0	0	1	1	zero	1	1	0	N	7
upset	214	2.330413773	0	0	1	1	zero	1	0	0	N	N
