stem	number_of_neutral_Vs	last_V	last_V_height	last_V_length	penult_V	penult_V_height	penult_V_length	B_quality	B_height	B_length	total_frequency	is_output_nak
komornyik	1	i	1	0	NA	NA	NA	o	2	0	73	1
ósdi	1	i	1	0	NA	NA	NA	ó	2	1	74	1
hapsi	1	i	1	0	NA	NA	NA	a	3	0	81	1
taxi	1	i	1	0	NA	NA	NA	a	3	0	83	1
mozaik	1	i	1	0	NA	NA	NA	a	3	0	85	1
szalámi	1	i	1	0	NA	NA	NA	á	4	1	86	1
páncél	1	é	2	1	NA	NA	NA	á	4	1	87	1
brazil	1	i	1	0	NA	NA	NA	a	3	0	88	1
klasszis	1	i	1	0	NA	NA	NA	a	3	0	92	1
parádé	1	é	2	1	NA	NA	NA	á	4	1	92	1
rituálé	1	é	2	1	NA	NA	NA	á	4	1	92	1
pánik	1	i	1	0	NA	NA	NA	á	4	1	92	1
latin	1	i	1	0	NA	NA	NA	a	3	0	98	1
praxis	1	i	1	0	NA	NA	NA	a	3	0	100	1
bugyi	1	i	1	0	NA	NA	NA	u	1	0	100	1
krumpli	1	i	1	0	NA	NA	NA	u	1	0	104	1
krokodil	1	i	1	0	NA	NA	NA	o	2	0	108	1
maradi	1	i	1	0	NA	NA	NA	a	3	0	113	1
diagnózis	1	i	1	0	NA	NA	NA	ó	2	1	120	1
acél	1	é	2	1	NA	NA	NA	a	3	0	123	1
csetepaté	1	é	2	1	NA	NA	NA	a	3	0	124	1
turné	1	é	2	1	NA	NA	NA	u	1	0	124	1
profit	1	i	1	0	NA	NA	NA	o	2	0	125	1
piramis	1	i	1	0	NA	NA	NA	a	3	0	128	1
mártír	1	í	1	1	NA	NA	NA	á	4	1	136	1
kabaré	1	é	2	1	NA	NA	NA	a	3	0	143	1
masszív	1	í	1	1	NA	NA	NA	a	3	0	166	1
rutin	1	i	1	0	NA	NA	NA	u	1	0	177	1
profil	1	i	1	0	NA	NA	NA	o	2	0	188	1
hóhér	1	é	2	1	NA	NA	NA	ó	2	1	197	1
buzi	1	i	1	0	NA	NA	NA	u	1	0	220	1
galaxis	1	i	1	0	NA	NA	NA	a	3	0	230	1
gumi	1	i	1	0	NA	NA	NA	u	1	0	234	1
taxis	1	i	1	0	NA	NA	NA	a	3	0	242	1
kávé	1	é	2	1	NA	NA	NA	á	4	1	257	1
mátrix	1	i	1	0	NA	NA	NA	á	4	1	300	1
gumik	1	i	1	0	NA	NA	NA	u	1	0	305	1
fázis	1	i	1	0	NA	NA	NA	á	4	1	313	1
favorit	1	i	1	0	NA	NA	NA	o	2	0	349	1
sztori	1	i	1	0	NA	NA	NA	o	2	0	349	1
kastély	1	é	2	1	NA	NA	NA	a	3	0	366	1
hobbi	1	i	1	0	NA	NA	NA	o	2	0	372	1
kocsis	1	i	1	0	NA	NA	NA	o	2	0	379	1
rabbi	1	i	1	0	NA	NA	NA	a	3	0	411	1
aktív	1	í	1	1	NA	NA	NA	a	3	0	451	1
valódi	1	i	1	0	NA	NA	NA	ó	2	1	456	1
papír	1	í	1	1	NA	NA	NA	a	3	0	505	1
bázis	1	i	1	0	NA	NA	NA	á	4	1	515	1
naiv	1	i	1	0	NA	NA	NA	a	3	0	538	1
szomszéd	1	é	2	1	NA	NA	NA	o	2	0	688	1
poén	1	é	2	1	NA	NA	NA	o	2	0	869	1
buli	1	i	1	0	NA	NA	NA	u	1	0	1086	1
stabil	1	i	1	0	NA	NA	NA	a	3	0	1382	1
forint	1	i	1	0	NA	NA	NA	o	2	0	2846	1
magazin	1	i	1	0	NA	NA	NA	a	3	0	3021	1
hamis	1	i	1	0	NA	NA	NA	a	3	0	9339	1
